Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2024-12-24,4077.676513671875,4115.2385535753,4056.992810235809,4056.992810235809,1181886
2024-12-26,4067.5302734375,4097.628784678773,4042.212290524461,4077.6768078533505,1208464
2024-12-27,4063.3837890625,4079.0916475171284,4046.212474411207,4061.578764476184,858100
2024-12-30,4057.48095703125,4096.9942749299735,4011.8213135691426,4049.871175249395,1527169
2024-12-31,3995.040283203125,4039.0904570447565,3933.819033134336,4034.2608611066544,1555429
2025-01-01,4012.26025390625,4033.285049519739,3985.9178056658616,3994.649712839411,763161
2025-01-02,4074.01806640625,4081.091437891958,3997.1380261916397,4019.626278774771,1720835
2025-01-03,4000.015869140625,4078.1159325156623,3992.601167467478,4078.1159325156623,1791953
2025-01-06,3995.2353515625,4048.55384284533,3967.33202525862,4005.4795447716347,2085593
2025-01-07,3930.160400390625,4039.48062466097,3913.818473049415,4014.699528626618,2669054
2025-01-08,4008.308837890625,4025.480152431607,3919.8673975841225,3936.599484714735,2181277
2025-01-09,3940.453369140625,4036.9438166628684,3927.233434192361,4001.0891407490603,2392472
2025-01-10,4161.7275390625,4192.3138665284805,4068.4079179482815,4097.67703966014,7894300
2025-01-13,4186.55810546875,4217.63225463054,4124.409807145168,4141.581122151328,4003771
2025-01-14,4129.921875,4208.802257304192,4116.262950839464,4197.192267044829,3441709
2025-01-15,4146.0693359375,4152.752548284097,4104.9463093928225,4115.2390947631675,1653474
2025-01-16,4103.82373046875,4189.387327787492,4089.7260547521782,4156.215653557223,2637705
2025-01-17,4087.964599609375,4123.945085907447,4063.9282428372853,4123.251059336668,1761466
2025-01-20,4041.87451171875,4109.275187749958,4032.260017399004,4109.275187749958,1287799
2025-01-21,4000.294189453125,4074.782019875334,3994.4956312570166,4059.22038554109,1971591
2025-01-22,4119.98046875,4126.472569686494,4008.570567070649,4014.319517493651,2409223
2025-01-23,4108.9287109375,4154.424234386973,4103.575897842693,4131.2798514749675,1822998
2025-01-24,4115.767578125,4141.191502882228,4067.8434484989616,4067.8434484989616,1910099
2025-01-27,4029.335693359375,4119.732409603993,4005.4481609662266,4065.861139494707,1551782
2025-01-28,4004.704833984375,4065.8612059687466,3992.810554493486,4034.9361276903833,2468272
2025-01-29,4063.680419921875,4071.6597895180053,4018.2841131724467,4018.2841131724467,1217089
2025-01-30,4063.92822265625,4093.5153399092133,4022.7444731997584,4063.7796409573857,1531251
2025-01-31,4076.16943359375,4092.0783226009103,4049.258723379119,4073.7906745213095,1492943
2025-02-01,4037.265380859375,4099.462552267958,4020.2665694535635,4076.764398462157,437172
2025-02-03,4032.804931640625,4041.0814645977634,3963.4712423764154,3995.387510672127,1265713
2025-02-04,4070.866455078125,4082.562786773872,4030.2279094720234,4047.7223151411663,2547132
2025-02-05,4055.057373046875,4113.438365339778,4040.090307740948,4113.438365339778,1693912
2025-02-06,4046.78076171875,4103.030791288902,4015.8556837274673,4069.2311172534987,2284536
2025-02-07,3993.900634765625,4053.9668417349,3972.689266912831,4053.9668417349,1548940
2025-02-10,4001.38427734375,4016.3017347020295,3978.9835293479905,4004.4074551323297,1339511
